country,region_group,income_group,gdp_per_capita,internet_use_pct,internet_access,infant_mortality_per_1k,unemployment_pct,population_growth_pct,population_growth,population_change
India,Asia-Pacific,low,"2,480.79",43.41,Low,25.5,4.17,0.88,low growth,not declining
Ireland,Europe_CentralAsia,high,"103,887.80",95.59,High,2.7,4.29,2.71,high growth,not declining
Israel,MENA,high,"52,642.43",91.85,High,2.7,3.37,2.06,high growth,not declining
Italy,Europe_CentralAsia,high,"39,003.32",87.03,Medium,2.2,7.63,-0.03,declining,declining
Jamaica,LatinAmerica,middle,"6,839.73",85.12,Medium,16.1,3.02,0.02,low growth,not declining
Japan,Asia-Pacific,high,"33,766.53",84.92,Medium,1.7,2.6,-0.49,declining,declining
Kazakhstan,Europe_CentralAsia,middle,"12,918.87",92.88,High,8.7,4.86,1.46,low growth,not declining
Latvia,Europe_CentralAsia,high,"22,502.84",92.19,High,2.8,6.47,-0.1,declining,declining
Lebanon,MENA,low,NA,90.05,Medium,14.9,11.3,0.5,low growth,not declining
Luxembourg,Europe_CentralAsia,high,"128,678.19",99.35,High,2.2,5.18,2.02,high growth,not declining
Malaysia,Asia-Pacific,middle,"11,379.09",97.69,High,6.7,3.93,1.23,low growth,not declining
Malta,MENA,high,"40,395.77",91.92,High,4.9,3.11,3.92,high growth,not declining
Mexico,LatinAmerica,middle,"13,790.02",81.18,Medium,11,2.77,0.87,low growth,not declining
Mozambique,Sub-Saharan Africa,low,622.99,21.21,Low,48.7,6.79,2.95,high growth,not declining
Netherlands,Europe_CentralAsia,high,"64,572.01",97.01,High,3.4,3.54,0.99,low growth,not declining
New Zealand,Asia-Pacific,high,"48,280.81",95.73,High,3.9,3.73,2.05,high growth,not declining
Norway,Europe_CentralAsia,high,"87,925.09",99,High,1.8,NA,1.14,low growth,not declining
Pakistan,Asia-Pacific,low,"1,365.28",32.95,Low,51,6.34,1.55,high growth,not declining
Peru,LatinAmerica,middle,"7,906.59",74.68,Low,11.7,4.9,1.1,low growth,not declining
Philippines,Asia-Pacific,low,"3,804.87",75.21,Medium,21.8,2.6,0.81,low growth,not declining
Poland,Europe_CentralAsia,high,"22,056.67",86.41,Medium,3.8,2.74,-0.37,declining,declining
Portugal,Europe_CentralAsia,high,"27,331.21",85.79,Medium,2.6,6.51,1.37,low growth,not declining
Qatar,MENA,high,"80,195.87",100,High,4.5,0.13,-0.05,declining,declining
Romania,Europe_CentralAsia,high,"18,404.27",89.2,Medium,5.5,5.59,0.06,low growth,not declining
Russian Federation,Europe_CentralAsia,high,"13,817.05",92.25,High,3.8,3.08,-0.29,declining,declining
Saudi Arabia,MENA,high,"32,093.96",100,High,5.5,4.01,3.33,high growth,not declining
Singapore,Asia-Pacific,high,"84,734.26",94.29,High,1.8,3.44,4.86,high growth,not declining
South Africa,Sub-Saharan Africa,middle,"6,022.54",74.7,Low,27.7,32.1,1.33,low growth,not declining
Spain,Europe_CentralAsia,high,"33,509.01",95.45,High,2.5,12.18,1.23,low growth,not declining
Sweden,Europe_CentralAsia,high,"55,516.84",95.7,High,2,7.61,0.47,low growth,not declining
Ukraine,Europe_CentralAsia,middle,"5,069.70",79.22,Medium,7,9.83,-8.42,declining,declining
United Arab Emirates,MENA,high,"49,040.69",100,High,4.3,2.15,3.98,high growth,not declining
United Kingdom,Europe_CentralAsia,high,"49,463.86",95.34,High,3.6,4.03,0.82,low growth,not declining
United States,North_America,high,"82,769.41",97.13,High,5.4,3.64,0.49,low growth,not declining
