country,macro_zones,region_group,regional_development,region_economic_development,income_group,gni_per_capita_usd,gdp_per_capita_usd,"Suicide mortality rate (per 100,000 population)","Intentional homicides (per 100,000 people)",sec_enrol_pct_gross,edu_spend_pct_gdp,Population growth (annual %),urban_population_pct,rural_population,Refugee population by country or territory of asylum,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Labor force with advanced education (% of total working-age population with advanced education),internet_use_pct,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment, total (% of total labor force) (national estimate)",health_expenditure_pct_gdp,foreign_investment_pct_gdp,ease_of _doing _business_rank,business_environment_group,renewable_energy_pct,infant_mortality_per_1k,pm25_ug_m3,control_of_corruption_pctile
Finland,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"53,230.00","52,925.69",15.3,1.65,144.85,6.54,0.5,85.77,14.23,"89,869.00",43.45,5.78,73.94,93.51,61.11,33.65,28.8,31.15,26.36,3.98,7.15,10.25,-0.09,20,High,50.2,1.9,4.9,99.53
Germany,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"54,800.00","54,343.23",12.3,0.83,100.82,4.54,-0.62,77.77,22.24,"2,593,007.00",681.81,7,72.9,92.48,61.47,45.87,29.21,25.31,33.31,2.15,3.07,12.65,0.43,22,High,17.6,3,10.29,94.34
France,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"45,180.00","44,690.93",13.8,1.14,104.26,5.43,0.33,81.78,18.22,"664,366.00",385.52,4.14,77.22,86.84,56.32,28.72,24.35,24.76,23.91,4.96,7.34,12.31,0.29,33,High,16.2,3.3,9.6,83.96
Guatemala,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"5,480.00","5,762.82",5.9,19.99,47.63,3.18,1.54,53.1,46.9,989,43.98,1.18,86.24,54.4,68.25,68.61,4.16,3.83,4.52,4.4,2.34,6.9,1.52,96,Low,62.1,18.8,21.64,14.15
Iceland,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"80,400.00","79,636.95",11.9,0.54,112.59,7.14,2.93,94.04,5.96,"8,715.00",4.17,7.85,85.37,99.86,75.04,63.83,34.23,41.95,26.91,2.26,3.52,8.57,2.2,26,High,82.4,2,5.11,91.98
"Hong Kong SAR, China",Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,high,"55,170.00","50,531.74",10.35,0.31,102,3.8,2.55,100,0,301,40.17,4.6,74.01,95.61,57.33,36.66,25.17,26.77,23.78,2.72,2.95,8.21,29.18,3,High,0.4,4.4,14.75,93.4
Italy,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"37,920.00","39,003.32",6.7,0.51,101.35,4.22,-0.03,71.97,28.03,"298,296.00",374.12,5.18,75.92,87.03,49.87,32.6,16.49,18.09,14.77,3.82,7.63,9,1.83,58,Moderate,17.5,2.2,14.66,67.92
Japan,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,high,"39,350.00","33,766.53",15.3,0.23,102.34,3.24,-0.49,92.04,7.96,"22,335.00","1,041.01",7.59,78.63,84.92,62.9,48.01,25.54,16.97,35,2.47,2.6,10.82,0.48,30,High,8.8,1.7,12.84,90.09
Jamaica,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"6,200.00","6,839.73",2.4,52.13,86.4,5.65,0.02,57.38,42.62,31,8.16,2.42,76.73,85.12,66.37,56.3,10.95,12.35,9.16,1.68,3.02,7.19,1.94,71,Moderate,10.5,16.1,17.41,50.94
Israel,Eastern_Hemisphere,MENA,low,low_transitional,high,"54,650.00","52,642.43",5.3,1.94,96.59,6.46,2.06,92.85,7.15,"1,235.00",79.58,6.28,80.37,91.85,65.06,29.71,38.05,41.73,34.13,2.4,3.37,7.9,2.94,35,High,6.2,2.7,18.6,78.77
